Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,text_length,sentiment,topic,action_item
15577,482,43,Sporty elegance,"I tried this dress on and convinced myself that i didn't need it. on another visit, i tried again and couldn't resist. it is amazingly comfortable and a great alternative to shorts/jeans/pants. you can dress it up a bit with sandals vs athletic shoes but the fabric does tend toward more festive picnic or outdoor concert vs wedding. i prefer wearing dresses so this is a wonderful addition.",5,1,1,Initmates,Intimate,Lounge,68,Positive,Quality,Highlight the exceptional comfort of the dress in product descriptions.
20591,1100,25,Such an easy dress to wear!,"Bought this dress to wear for my engagement brunch! it does run big, but it's a laid back dress to wear?i never had to adjust the dress of myself while wearing it.",5,1,3,General Petite,Dresses,Dresses,32,Positive,Design_Style,Highlight the dress's suitability for engagement brunches and similar events
14932,1117,24,Love it! hello fall!,"Love this jacket! this picture shows the sleeves rolled down, but in the stores they have them rolled up and i have to say that is how you'll most likely wear it as the sleeves might be too short if you rolled them down. however, it is still a fabulous fall coat! it does run slightly large, but it depends on how you want it to fit. i am typically a medium, and i bought the m/l because the xs/s was a little fought in the shoulders. i bought last weekend and already wore twice because it looks gre",5,1,0,General,Jackets,Outerwear,99,Positive,Design_Style,Emphasize the jacket's stylish appeal and versatility for fall in marketing.
9326,959,45,I love this!,"This jacket is a great fit and feels like a nice, comfortable addition to a professional/work wardrobe. it is very lightweight and fits somewhat loosely. i am 5""7 and 125 lbs and the small fits nicely. the only con is that there is not a way to secure down the top payer of the wrap )no snap, button, etc.).",4,1,0,General Petite,Jackets,Jackets,59,Positive,Design_Style,Emphasize the jacket's suitability for professional and work wardrobes in product descriptions.
15738,865,37,Great style!,"Just picked this up at my retailer and i just love it. its totally different than your typical tee. the bottom is more of a blousy silk material and the top is a super soft knit. it lays really well and is long enough to wear with leggings! my favorite part is the t strap in the back. such a beautiful detail and so much fun. my only criticism with this top is where it hits on the bust. im a little more full figured, so the top looks better on me when the silk part isn't under my boobs. kinda have",5,1,2,General,Tops,Knits,102,Positive,Design_Style,Continue offering unique designs with mixed materials and stylish details.
2295,1022,60,Perfect jeans,"Perfect fit, great material, torn in just the right places. can't wait to see the stevie jeans for the fall esp. in corduroy!",5,1,1,General,Bottoms,Jeans,23,Positive,Sizing_Fit,Maintain current sizing accuracy for Stevie jeans.
20363,909,58,"Love the feel, love the fit!","I hesitated to spend the money on this sweater but somehow knew it would be my go-to sweater for the season. when i tried it on, i knew i made the right decision - it feels luxurious and fits like a dream. the pop of color on the pocket is perfect to make a statement and to add something different from all those other sweaters! the fit is tts.",5,1,0,General Petite,Tops,Fine gauge,69,Positive,Price_Value,Address potential customer hesitation on price by highlighting long-term value and satisfaction in product marketing.
9009,824,42,Perfect but...,"I love this top! it is a perfect summer staple but for me it was too short. i sized up to fix this problem because i prefer the boho, flowy look. it is flowy on it's own but i felt it lacked length so went up a size. waiting for my retailer mail with anticipation!",5,1,3,General,Tops,Blouses,55,Negative,Sizing_Fit,Review standard top lengths to prevent 'too short' feedback and potentially reduce returns/exchanges.
20517,877,53,,Very very cute. bought in store yesterday. put it on today to wear and it is huge. i normally buy a large in tshirts. i will return for either a small or medium but will try on in the store. oh well.,3,1,15,General Petite,Tops,Knits,42,Negative,Sizing_Fit,"Review and standardize t-shirt sizing, particularly for 'Large' sizes, as they run much larger than expected."
11865,879,50,Not flattering!,I put on this t-shirt and my husband said it makes you look old. he was right. i'm not sure if it's the cut or the pattern but i found it completely unflattering on my petite frame and it looked cheap too. perhaps on someone else it would look different. the pattern is overwhelming and the sleeps are a bit too look and ruched for my liking. it may look better on someone taller.,2,0,2,General Petite,Tops,Knits,74,Negative,Design_Style,Re-evaluate the pattern and cut for broader aesthetic appeal.
21992,1084,60,Perfect dress,"This is the most perfect dress i've ever bought. i'm 5'8"" and the length was perfect. the cut is flattering and very slimming. the fabric is gorgeous and the pattern is stunning. please offer more dresses in this cut!!",5,1,0,General,Dresses,Dresses,39,Positive,Design_Style,Develop more dresses with similar flattering cuts and stunning patterns.
15788,865,46,Love this shirt!,Beautiful design and perfect for warm days. it has a lovely open back with the perfect amount of loose fitting flow.,5,1,0,General,Tops,Knits,21,Positive,Design_Style,Showcase unique and beautiful designs prominently in product imagery.
9621,872,64,Excellent if you do not have a chest,"I received this today and will have to send it back. it is super cute and the quality is great. however, you need to wear a bra or a halter bra due to the style which is not a proble, but my 32d chest looked huge in this top so it is going back.",4,0,2,General Petite,Tops,Knits,54,Negative,Sizing_Fit,"Review sizing of this top style, particularly for larger busts."
2523,1078,38,Great fall dress,"I tried this dress on in the store.  i wear either a s or xs in retailer clothes.  its loose fitting, so i went with the xs.  the arm holes were tight, but have very cute buttons if you look closely at the picture.  you can also roll the sleeves up and there is a coordinating plaid underneath, which adds a nice touch.  great length, not too short or too long.  the grey color is much prettier in person.  i felt it had a little more of a blue tint. for reference i am 5'6"", 124 lbs, and 32b.",5,1,0,General Petite,Dresses,Dresses,99,Negative,Sizing_Fit,"Review the sizing and fit of armholes for XS dresses, as they were reported to be tight."
15757,895,67,,"Perfect light weght sweater for the holidays. i love the detail in the back. the xs was a great fit for this 5'2"", 115 lb body.",5,1,1,General Petite,Tops,Fine gauge,26,Positive,Design_Style,Highlight holiday suitability and back detail in product descriptions and marketing.
1244,979,61,"Soft, warm and stylish!",Fit great - maybe a bit large....i bought a l (typically i go between a large and extra large) and there is room to put a thick sweater on underneath it.  this goes with just about everything!,5,1,0,General,Jackets,Jackets,37,Positive,Sizing_Fit,Ensure sizing charts accurately reflect garment dimensions for layering.
15095,862,48,Not for the petite or large chested,"Did not work for me. whatsoever. the stripes were adorable but the piece just didn't fit like on the model. the collar was practically choking me and the tie just didn't make my figure look the way it normally does. aka i looked frumpy and chunky, which i'm not. going back.",1,0,1,General,Tops,Knits,51,Negative,Sizing_Fit,Review product sizing and fit accuracy compared to model portrayal.
6022,850,32,"Versatile, great spring color","I ordered a size 4, my usual size in tops is s or xs for looser fitted tops, i prefer a more fitted look. for reference i am 5'4"" 120 lbs,, 32d. i ordered in pink and the color matches the online image. the pink is shear and i do have to wear a camisole underneath, which does not bother me at all. the top is adorable with jeans or slacks for work.",5,1,0,General Petite,Tops,Blouses,73,Positive,Sizing_Fit,Maintain consistent sizing to help customers achieve preferred fit.
15477,256,40,,"I was hesitant in purchasing these without trying them on first, but i'm happy i did. they are higher quality than the typical legging. the sizing runs bigger than average.",5,1,0,General Petite,Intimate,Lounge,30,Positive,Design_Style,Showcase product appeal to overcome online purchase hesitation.
3929,1081,35,This dress hit the spot...,This dress was just perfect. the fit was just right and it is made well. love the ruffles... could definitely be dressed up or wore casual. great dress all around ... a keeper!!!,5,1,0,General Petite,Dresses,Dresses,33,Positive,Sizing_Fit,Maintain current sizing accuracy for this dress style.
780,1072,56,No slip and totally sheer dress,"I just received this in the mail today. first of all there was no slip included and the fabric is totally sheer. the description says ""viscose lining"" so i assume there was a slip and from the picture it looks like it was a beige color. second of all, it was obviously sent from a store where they lost the slip and it was squished into the smallest possible retailer envelope. the fabric is beautiful but the dress is humongous like the previous reviewers said. i ordered a size smaller than us",2,0,0,General,Dresses,Dresses,92,Negative,Quality,Ensure product descriptions accurately reflect garment features like lining and sheerness.
10822,1110,32,Cute and functional=win win,"I was at first a bit leery of this dress because of the shape. baggy is in, but it's not always flattering. i am usually a big small-medium and the medium was too fluffy. i realize it's supposed to be loose, but not that loose. i'm 5'8"" and 146 lbs and the small was the best option. perfect amount of looseness but still gave a hint of shape. it has pockets and is so comfortable. i'm a school teacher so i try to find clothes that i can wear in both worlds. this is definitely a keeper! i will for",5,1,4,General,Dresses,Dresses,100,UNPROCESSED,N/A,N/A
9951,899,41,Gorgeous knitted cardi,"This cardigan did not disappoint. i purchased the orange, which is a beautiful deep red orange that is perfect for fall. the fit is true to size and the length of the cardigan is nice, hitting at mid hip. the ruffles hang well and are not too bulky or overwhelming on my petite frame. it looks great from the side as well. i love the knitted details, the scallops, and the subtle gathers. the only flaw is that the sleeves are way too long to be practical. they come to my fingertips, so get in the w",4,1,2,General,Tops,Fine gauge,97,UNPROCESSED,N/A,N/A
15462,975,40,The perfect blazer,"Ok. stop everything, take out your credit card & order this blazer immediately! i'm obsessed with blazers, but was on the fence about ordering this one (i mean, how many black blazers can one girl own?!), but after reading the outstanding reviews, i decided to go for it & i'm so glad i did! the online pictures do it no justice whatsoever, & i was afraid the polyester blend & gold buttons would look cheap, but, boy, was i in for a surprise when i opened my package! the black fabric looks high-end",5,1,0,General Petite,Jackets,Jackets,93,Positive,Design_Style,"Promote this blazer more aggressively, highlighting customer obsession."
8977,940,54,Linty & pills,"This jacket is so cute and fits perfect and i love the motif. however, it deposited black linty particle all over my pants and top and the fabric was already pilling just from being on the hanger in the store. this piece will look bad/worn/old in a very short period of time. it's a big shame, because it's so perfect in every other way. i choose not to buy it. it's very expensive for the quality.",1,0,2,General,Tops,Sweaters,76,Positive,Design_Style,Highlight unique design and appealing motif in product descriptions and marketing.
10846,907,34,Goes with everything,Better than a regular boring cardigan. goes with short sleeves and dresses!!,5,1,1,General,Tops,Fine gauge,12,Positive,Design_Style,Highlight unique design features in product descriptions and marketing materials.
2517,1078,47,Babydoll,The colour is gorgeous but it's basically a baby doll dress - it looks like the waist is much lower on the model but for my height and large chest it' fell like a baby doll or a maternity dress. not flattering. pockets are a nice touch though.,4,1,3,General Petite,Dresses,Dresses,48,Positive,Design_Style,Highlight the appeal of this specific color in product descriptions and marketing materials.
4600,1082,31,Has no shape,"This dress is very cute on the model online, but in person it is quite large and just hands there and doesn't do much for the figure. cute but not worth the $148 price tag.",3,0,1,General,Dresses,Dresses,35,Negative,Sizing_Fit,Review product measurements and fit descriptions to better match online appearance on models versus in-person fit.
10485,929,56,Very simple but adorable form,"I ordered xs petite. the base of the neck was itchy... if you wear a turtle neck sweater inside, it should be fine. the other parts were very soft.",4,1,7,General,Tops,Sweaters,29,Negative,Quality,Investigate the material and finishing at the neck area to eliminate itchiness.
9837,1078,24,Classy and cool,"This is a great piece to add to your wardrobe! the flowy and light feel of the fabric is great. i got the pink, which surprised me because i wear so much black. the length fits longer than most rompers, which is great. it makes it a classic fit. i definitely recommend this and suggest trying a size up- the waist has elastic, but it's snug.",5,1,1,General Petite,Dresses,Dresses,66,Positive,Design_Style,Highlight the flowy and classic fit in product descriptions.
15715,865,51,Summer coverall,"This is absolutely a 1-season top. the material is very thin and flowy, with the front v plunging pretty dramatically. i'm using mine as a swim cover, and i'm thrilled to report the mottled pattern on the cotton hides perspiration(!)
the first time i wore this top, i paired it with denim shorts, and the hemline completely covered the shorts, so it was way more of a mini-dress than a long shirt--which is ok. if i wear it again as a top rather than a swim cover, i'd just go with yoga shorts benea",4,1,1,General,Tops,Knits,94,Negative,Quality,Investigate material durability for longer wear and consider thicker fabric options.
1113,1068,45,Love these,"These joggers are soo cute. they fit great!!
i seriously love them!! i have worn them so often
i may have to ban myself from them for a week.
i am 5'4 and the length was perfect for a jogger pant.
i got an xs because the small looked too baggy. 
the xs loosened up a little after wearing them and are perfect.",5,1,0,General,Bottoms,Pants,63,Positive,Design_Style,Highlight the aesthetic appeal of the joggers in marketing materials.
471,984,40,Love it.,"I simply love this jacket. it's comfortable, soft and has a relaxed fit that is easy to wear. i wish i had bought mine while it was on sale.",4,1,0,General,Jackets,Jackets,29,Positive,Design_Style,Showcase the jacket's comfortable and soft material in marketing.
12654,875,39,Lovely transitional piece,"This top is lovely and so perfect for this time of year when you want to look fall-ish but when it's still too hot to wear long sleeves. but i'm pretty sure it's navy, not black. very dark navy, yes. still, not black. compared to every other black top in my closet it looks navy. so that was a little disappointing. but i'm keeping it because i'm a sucker for a flowy top, and i can wear it right now.",4,1,0,General,Tops,Knits,80,Positive,Design_Style,Continue to offer versatile transitional styles for changing seasons.
677,1059,45,"Love these pants, highly recommend!","I often find wearing anything described as 'slim' difficult, but these pants are absolutely wonderful. i bought in a size 12 regular length. they are perfect, both in fit and quality.",5,1,1,General,Bottoms,Pants,31,UNPROCESSED,N/A,N/A
18551,1094,38,Very pretty on,"I saw this dress in the store, there are actually two different colors for this dress: one is blue/purple/silver, the other one is orange/tan/gold. both of them look very nice in person, especially with the shimmery thread. i tried on the blue/purple/silver one and i found it runs large. for reference, i am 5'2"", 34b, 120 lbs, usually wearing a size s or sp in retailer dresses, i found size xs fits me better in this design. the material of this dress drapes nicely, but it is kind of itchy,",4,1,23,General,Dresses,Dresses,90,UNPROCESSED,N/A,N/A
21451,576,36,So cute but not a great fit,"I wear an 8-10 and these are a little big on me, which is surprising. they also don't lay really flat in the back. the pockets are inside in the back, in side two layers, and don't lay very flat. the crotch is low and rides up when i walk.
i'll probably wear them again, but i'm not totally thrilled by them.",3,0,0,General,Bottoms,Shorts,62,UNPROCESSED,N/A,N/A
20272,1051,34,Great pants; run large,"I am 5'5. 125 pounds, size 4-ish (sometimes a 4, sometimes a 6), athletic build. these pants fit great except they are pretty large around the waist, about 2 extra inches of space. i don't think the problem would be fixed by sizing down since only the waist was large. i will need to get them tailored.",4,1,4,General,Bottoms,Pants,57,UNPROCESSED,N/A,N/A
4242,1086,59,Everything summer,"I meant to order this online and forgot. i was very happy when i was able to get it in one of the stores yesterday. it's everything a summer dress should be: flowy, lightweight and a great print. i can't believe there's no reviews and that it still available in every size. for reference i got a small i am 5'4""  135. this dress i thought would make me look wide because it's all straight across but in fact it really has a great flow and is cut well. grab it while you can.",5,1,4,General,Dresses,Dresses,94,UNPROCESSED,N/A,N/A
14191,1083,28,Grandmas draperies dress,"I had to review this because i purchased before any reviews were up and now that i've received this dress i'm appalled by all the positive reviews!!! this dress is hideous in person. seriously hideous. and even if you can get past the drapery fabric, it's incredibly restricting. the picture online is so misleading. the dress isn't even an ivory it's more of a pea green! so disappointed.",1,0,3,General,Dresses,Dresses,68,Negative,Design_Style,Update product images to accurately reflect the true appearance of the dress.
